170,56,1,52.27,259.17;
172,63,0,909.52,18.17;
160,50,1,36.58,175.95;
170,63,0,774.75,47.46;
174,66,0,611.74,43.9;
158,55,1,52.69,291.12;
183,80,0,864.71,41.59;
182,70,0,353.57,20.33;
165,54,1,17.19,62.63;
167.27,94.54,1,45.45,195.64;
150.78,77.67,1,43.18,115.34;
187.95,69.63,0,407.75,41.87;
164.0,57.51,1,66.2,113.89;
154.52,64.69,0,422.27,48.48;
187.35,78.1,1,45.39,177.51;
188.39,99.29,0,849.02,27.83;
150.31,50.01,0,909.12,27.02;
153.35,56.5,0,447.35,40.14;
170.53,51.24,1,50.8,298.86;
186.4,67.45,0,961.28,19.14;
154.71,84.15,1,33.9,195.88;
187.74,68.67,1,20.46,202.14;
179.83,64.06,0,603.16,46.2;
183.41,73.16,0,750.76,37.85;
161.72,66.35,0,324.94,26.25;
167.26,54.44,0,792.56,18.56;
156.13,71.97,1,65.06,194.87;
150.97,96.56,1,60.65,144.23;
168.47,80.77,0,631.0,45.67;
188.41,81.43,0,320.04,28.89;
157.84,60.02,0,549.62,15.44;
185.15,59.69,0,841.08,40.12;
150.16,71.92,0,464.28,32.94;
174.1,75.47,1,50.21,131.05;
176.34,71.06,0,549.47,49.6;
173.07,52.66,0,787.26,17.24;
179.04,55.76,1,58.64,224.07;
189.67,88.1,0,435.19,37.36;
161.97,77.9,1,37.58,214.33;
167.27,55.62,0,667.68,18.14;
172.65,65.48,0,727.44,25.61;
174.29,79.62,1,67.88,139.39;
168.89,53.6,0,373.77,32.5;
186.99,76.82,1,32.65,236.04;
181.18,91.9,0,898.56,42.82;
156.72,61.61,0,986.41,12.92;
167.07,71.62,1,38.01,113.85;
188.54,68.13,1,65.65,160.86;
165.52,68.78,1,64.09,134.75;
158.42,61.66,0,517.65,35.11;
